description,price,bioequivalent,image_url,chain,searched_drug
"Kenatrum Tramadol 37,5 mg Paracetamol 325 mg 30 Comprimidos Recubiertos",10990,paracetamol,"https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw90b57277/images/large/535496-kenatrum-tramadol-37,5-mg-paracetamol-325-mg-30-comprimidos-recubiertos.jpg?sw=295&sh=295",Cruz Verde,paracetamol
"Tramavolta 37,5/325 Tramadol 37,5 mg 30 Comprimidos",10516,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw06eaa240/images/large/292260-tramavolta-375325-tramadol-375-mg-30-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Dropol Paracetamol 1000 mg 20 Comprimidos,7726,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwede42067/images/large/288548-dropol-paracetamol-1000-mg-20-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
"Zaldiar Tramadol 37,5 mg 20 Comprimidos Recubiertos",26127,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw5ba3f1d3/images/large/19258-zaldiar-comprimido-recubierto-20-unidades-tramadol-375-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Kitadol Paracetamol 120 mg/5ml Jarabe 60 mL,9891,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwccdb43fc/images/large/1390-kitadol-jarabe-60-ml-paracetamol-120-mg-5ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
"Cronus Tramadol 37,5 mg 20 Comprimidos",18207,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwb723f257/images/large/251788-cronus-comprimido-20-unidades-tramadol-375-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Geniol Pediatrico Paracetamol 80 mg 16 Comprimidos,1861,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwa2c5db60/images/large/193095-geniol-pediatrico-comprimido-16-unidades-paracetamol-80-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Geniol Flu Día-Noche Pseudoefedrina 60 mg 20 Comprimidos,3190,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwde7705d7/images/large/254298-geniol-flu-dia-noche-comprimido-recubierto-20-unidades-pseudoef-60-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Congestex Paracetamol 400 mg 10 Cápsulas,9583,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw42b81f3d/images/large/4160-congestex-paracetam-60-mg-10-capsulas.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Sevedol Ácido Acetilsalicilico 65 mg 12 Comprimidos,2455,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw07791154/images/large/276003-sevedol-comprimido-12-unidades-aas(aspirina)-65-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin InstaFLU DN Paracetamol 500 mg Pseudoefedrina Clorhidrato 60 mg 12+6 Comprimidos,6063,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwd5ae0e19/images/large/255388-tapsin-instaflu-dn-paracetamol-500-mg-pseudoefedrina-clorhidrato-60-mg-12+6-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Panadol Niños Paracetamol 100 mg / mL Gotas Orales 15 mL,3697,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw45544282/images/large/26011-panadol-ni%C3%B1os.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Trio-Val Día/Noche Pseudoefedrina 60 mg 20 Comprimidos,4990,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw3d4cc4c2/images/large/6256-trio-val-dia-noche-comprimido-20-unidades-pseudoef-60-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Paracetamol Infantil Paracetamol 80 mg 100 Comprimidos,519,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwba4e1382/images/large/225007-paracetamol-infantil-paracetamol-80-mg-100-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Analgésico Paracetamol 400 mg 12 Comprimidos,1394,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw4214e101/images/large/72222-tapsin-analgesico-comprimido-12-unidades-paracetamol-400-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Panadol Niños Paracetamol 160 mg / 5 mL Jarabe 60 mL,8151,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw085600af/images/large/26066-panadol-ni%C3%B1os.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Kitadol Antigripal 18 Comprimidos Recubiertos Día/Noche (12 Día y 6 Noche),4039,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw73f814a0/images/large/544205-kitadol-antigripal-18-comprimidos-recubiertos-dianoche-12-dia-y-6-noche.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Forte Paracetamol 650 mg 30 Comprimidos Recibiertos con Tapa De Seguridad Childproof,3599,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwaadb86f2/images/large/299091-tapsin-forte-paracetamol-650-mg-30-comprimidos-recibiertos-con-tapa-de-seguridad-childproof.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Nastul Pseudoef 60 mg 10 Comprimidos,5095,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw244db72c/images/large/12137-nastul-pseudoef-60-mg-10-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Paracetamol 400 mg Cafeina 33 mg 30 Comprimidos con Tapa de Seguridad Childproof,2895,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw95a9cd9c/images/large/299186-tapsin-paracetamol-400-mg-cafeina-33-mg-30-comprimidos-con-tapa-de-seguridad-childproof.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Panadol Pediatrico Paracetamol 80 mg 16 Comprimidos,2881,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw90dea7f1/images/large/26225-panadol-pediatrico-paracetamol-80-mg-16-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Panadol Advance Paracetamol 500 mg 48 Comprimidos,6621,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw89b45e4e/images/large/532006-panadol-advance-paracetamol-500-mg-48-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Paracetamol 125 mg 6 Supositorios,1267,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw2c91fded/images/large/199334-paracetamol-125-mg-6-supositorios.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Analgésico Paracetamol 400 mg 6 Comprimidos,519,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwb6e88afd/images/large/72119-tapsin-analgesico-paracetamol-400-mg-600-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Nocturno Paracetamol 500 mg 12 Comprimidos,1521,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw1ab5e6e8/images/large/72223-tapsin-nocturno-paracetamol-500-mg-12-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Kitadol Paracetamol 160 mg 15 Comprimidos,3159,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwdfa480d6/images/large/252676-kitadol-paracetamol-160-mg-15-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Noche Compuesto Antigripal Paracetamol 400 mg Noscapina 10 mg Clorfenamina 4 mg Polvo para Soluc.Oral 1 Sobre Sabor Limon / Miel / Jengibre,695,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw51a4a399/images/large/300604-tapsin-noche-compuesto-antigripal-polvo-sobre.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Congestex Paracetam 15 mg/5ml Jarabe 120 mL,9671,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw8a9ac3b1/images/large/4067-congestex-paracetam-15-mg5ml-jarabe-120-ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Dolider Ácido Acetilsalicilico 65 mg 10 Comprimidos,3391,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw70c58914/images/large/41110-dolider-aas-65-mg-10-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Nocturno Paracetamol 500 mg 600 Comprimidos,607,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwb4f794d8/images/large/72198-tapsin-nocturno-paracetamol-500-mg-600-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin SC Paracetamol 1000 mg Polvo para Soluc. Oral Efervescente 1 Sobre Sabor Limon,6990,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw497d65e9/images/large/387700-tapsin-sc-paracetamol-1000-mg-polvo-efervescente-sobre-sabor-limon.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Nastigrip Antigripal Día-Noche Paracetamol 300 mg 18 Comprimidos,2103,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw5478cf37/images/large/272695-nastigrip-antigripal-dia-noche-comprimido-18-unidades-paracetamol-300-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Panadol Advance Paracetamol 500 mg 12 Comprimidos,2983,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw2716ebd9/images/large/399853-panadol-advance.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Paracetamol 80 mg 20 Comprimidos,1575,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw8e606bfc/images/large/2247-paracetamol-80-mg-20-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
PARACETAMOL VALMA 10% Gotas x 15ml,1590,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_200x.jpg?v=1653142674 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_300x.jpg?v=1653142674 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_400x.jpg?v=1653142674 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_500x.jpg?v=1653142674 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_600x.jpg?v=1653142674 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_700x.jpg?v=1653142674 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_800x.jpg?v=1653142674 800w",Farmacia Botika,paracetamol
PARACETAMOL 500mg Comp. x 16,790,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_200x.jpg?v=1655929186 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_300x.jpg?v=1655929186 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_400x.jpg?v=1655929186 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_500x.jpg?v=1655929186 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_600x.jpg?v=1655929186 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_700x.jpg?v=1655929186 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_800x.jpg?v=1655929186 800w",Farmacia Botika,paracetamol
